sys,t_res,s_res,tr,ta,total_time
Polaris,hour,0.25,16.296305894851685,0,16.296305894851685
Polaris,hour,0.25,12.566938638687134,0,12.566938638687134
Polaris,hour,0.25,17.500261306762695,0,17.500261306762695
Polaris,hour,0.5,12.624786376953125,0,12.624786376953125
Polaris,hour,0.5,8.030845165252686,0,8.030845165252686
Polaris,hour,0.5,10.95084547996521,0,10.95084547996521
Polaris,hour,1.0,3.43757963180542,0,3.43757963180542
Polaris,hour,1.0,2.3255319595336914,0,2.3255319595336914
Polaris,hour,1.0,3.193948984146118,0,3.193948984146118
Polaris,day,0.25,6.7145819664001465,0,6.7145819664001465
Polaris,day,0.25,6.560367107391357,0,6.560367107391357
Polaris,day,0.25,6.455228328704834,0,6.455228328704834
Polaris,day,0.5,2.34344482421875,0,2.34344482421875
Polaris,day,0.5,2.350756883621216,0,2.350756883621216
Polaris,day,0.5,2.385049819946289,0,2.385049819946289
Polaris,day,1.0,1.8747777938842773,0,1.8747777938842773
Polaris,day,1.0,1.815397024154663,0,1.815397024154663
Polaris,day,1.0,1.8663442134857178,0,1.8663442134857178
Polaris,month,0.25,0.29346275329589844,0,0.29346275329589844
Polaris,month,0.25,0.26384663581848145,0,0.26384663581848145
Polaris,month,0.25,0.2561209201812744,0,0.2561209201812744
Polaris,month,0.5,0.12421131134033203,0,0.12421131134033203
Polaris,month,0.5,0.10713815689086914,0,0.10713815689086914
Polaris,month,0.5,0.09801840782165527,0,0.09801840782165527
Polaris,month,1.0,0.06699156761169434,0,0.06699156761169434
Polaris,month,1.0,0.10891175270080566,0,0.10891175270080566
Polaris,month,1.0,0.10989999771118164,0,0.10989999771118164
Polaris,year,0.25,0.06282448768615723,0,0.06282448768615723
Polaris,year,0.25,0.0553288459777832,0,0.0553288459777832
Polaris,year,0.25,0.048726797103881836,0,0.048726797103881836
Polaris,year,0.5,0.043956756591796875,0,0.043956756591796875
Polaris,year,0.5,0.04032492637634277,0,0.04032492637634277
Polaris,year,0.5,0.04751181602478027,0,0.04751181602478027
Polaris,year,1.0,0.02968764305114746,0,0.02968764305114746
Polaris,year,1.0,0.029417037963867188,0,0.029417037963867188
Polaris,year,1.0,0.027899503707885742,0,0.027899503707885742
